,Date,Open,High,Low,Close,Volume,Reference
0,2021-06-11,45.2,45.45,43.8,44.2,3294400,44.25
1,2021-06-10,41.4,44.25,41.3,44.25,5221700,41.4
2,2021-06-09,41.8,41.8,40.5,41.4,1363600,40.5
3,2021-06-08,41.6,42.25,40.5,40.5,1430100,42.15
4,2021-06-07,41.5,42.5,41.5,42.15,1919600,41.35
5,2021-06-04,40.8,41.55,40.75,41.35,2099900,40.35
6,2021-06-03,39.2,40.5,38.8,40.35,2023700,38.95
7,2021-06-02,39.5,39.5,38.7,38.95,1521100,39.7
8,2021-06-01,39.8,40.0,39.6,39.7,84040,40.0
9,2021-05-31,40.6,40.65,39.5,40.0,1257000,40.2
10,2021-05-28,40.2,40.4,39.6,40.2,1516700,39.8
11,2021-05-27,39.4,40.5,39.15,39.8,1791500,39.35
12,2021-05-26,39.1,39.6,39.1,39.35,82390,39.7
13,2021-05-25,39.4,40.0,39.4,39.7,75320,39.4
14,2021-05-24,40.0,40.3,39.3,39.4,92310,39.5
15,2021-05-21,37.9,40.0,37.9,39.5,2082200,37.8
16,2021-05-20,38.0,38.0,37.5,37.8,77040,37.9
17,2021-05-19,37.95,38.15,37.8,37.9,45920,37.95
18,2021-05-18,38.0,38.2,37.8,37.95,69660,38.0
19,2021-05-17,37.3,38.2,36.8,38.0,1000500,37.3
20,2021-05-14,38.0,38.05,37.2,37.3,59720,37.8
21,2021-05-13,38.2,38.2,37.7,37.8,58480,38.2
22,2021-05-12,36.5,38.3,36.5,38.2,1417400,36.4
23,2021-05-11,35.8,37.2,35.75,36.4,92630,35.75
24,2021-05-10,36.0,36.0,35.5,35.75,74740,36.1
25,2021-05-07,36.5,36.6,35.95,36.1,72570,36.65
26,2021-05-06,36.2,36.8,35.85,36.65,84060,36.2
27,2021-05-05,36.2,36.5,36.15,36.2,56300,36.1
28,2021-05-04,36.1,36.3,35.5,36.1,47350,36.9
29,2021-04-29,36.9,36.95,36.55,36.9,51930,36.9
30,2021-04-28,36.0,36.9,35.95,36.9,62320,36.0
31,2021-04-27,36.2,36.3,35.8,36.0,30060,36.2
32,2021-04-26,37.0,37.0,36.0,36.2,43160,36.7
33,2021-04-23,35.7,36.9,35.2,36.7,63750,35.9
34,2021-04-22,37.0,37.0,35.9,35.9,76690,36.7
35,2021-04-20,36.8,37.45,36.5,36.7,74210,36.65
36,2021-04-19,36.1,37.0,36.1,36.65,60240,36.1
37,2021-04-16,37.4,37.4,35.9,36.1,1423700,37.3
38,2021-04-15,38.2,38.5,37.1,37.3,1301200,38.2
39,2021-04-14,38.4,38.6,38.1,38.2,1022200,38.4
40,2021-04-13,38.8,38.95,38.35,38.4,82480,38.6
41,2021-04-12,39.15,39.2,38.45,38.6,2159000,39.15
42,2021-04-09,39.45,39.45,39.0,39.15,74580,39.35
43,2021-04-08,39.4,39.5,39.05,39.35,60620,39.1
44,2021-04-07,39.3,39.3,39.05,39.1,63990,39.3
45,2021-04-06,39.5,39.6,39.2,39.3,65590,39.5
46,2021-04-05,40.0,40.0,39.15,39.5,83670,39.15
47,2021-04-02,40.1,40.1,39.1,39.15,74380,39.5
48,2021-04-01,38.8,39.5,38.8,39.5,48840,38.8
49,2021-03-31,38.75,39.1,38.6,38.8,71380,39.0
50,2021-03-30,39.2,39.35,38.85,39.0,75000,39.4
51,2021-03-29,39.2,39.6,38.7,39.4,48280,39.0
52,2021-03-26,38.4,39.3,38.0,39.0,80690,38.55
53,2021-03-25,38.9,39.6,38.4,38.55,1129300,38.9
54,2021-03-24,40.0,40.3,38.0,38.9,1534500,40.45
55,2021-03-23,41.35,41.35,40.1,40.45,1651800,41.45
56,2021-03-22,41.45,42.0,41.3,41.45,92860,41.9
57,2021-03-19,42.4,42.4,41.9,41.9,74310,42.4
58,2021-03-18,42.95,43.0,42.0,42.4,96920,42.4
59,2021-03-17,42.55,42.6,42.2,42.4,75360,42.55
60,2021-03-16,42.45,42.8,42.0,42.25,65290,42.35
61,2021-03-15,42.55,43.0,41.9,42.35,1079500,42.35
62,2021-03-12,42.7,42.9,42.0,42.35,94980,42.7
63,2021-03-11,43.0,43.0,42.55,42.7,1116800,42.55
64,2021-03-10,42.0,42.6,41.7,42.55,1336800,42.0
65,2021-03-09,42.5,42.75,41.8,42.0,1431500,42.75
66,2021-03-08,43.5,43.6,42.5,42.75,1094300,42.7
67,2021-03-05,41.8,43.2,41.6,42.7,2153100,41.9
68,2021-03-04,42.0,43.6,41.6,41.9,2492300,42.0
69,2021-03-03,41.2,42.0,40.9,42.0,2105600,40.85
70,2021-03-02,40.6,41.2,40.1,40.85,1549600,40.15
71,2021-03-01,40.0,40.45,39.0,40.15,1357000,39.8
72,2021-02-26,39.05,40.0,39.05,39.8,54030,39.9
73,2021-02-25,40.3,41.0,39.1,39.9,87240,39.95
74,2021-02-24,39.0,40.0,38.8,39.95,1006100,39.0
75,2021-02-23,39.2,39.5,38.9,39.0,88020,39.55
76,2021-02-22,40.25,40.4,39.4,39.55,1023000,40.3
77,2021-02-19,40.3,40.95,39.0,40.3,84670,39.5
78,2021-02-18,39.5,40.15,38.3,39.5,1065400,38.4
79,2021-02-17,38.4,38.5,37.0,38.4,82840,36.65
80,2021-02-09,36.65,36.9,35.85,36.65,62050,36.15
81,2021-02-08,36.15,37.2,34.55,36.15,1030900,37.1
82,2021-02-05,37.0,37.5,36.9,37.1,66160,37.0
83,2021-02-04,37.5,37.8,36.95,37.0,72310,37.2
84,2021-02-03,36.0,37.75,35.8,37.2,1142600,35.3
85,2021-02-02,36.0,36.0,34.65,35.3,1174100,35.4
86,2021-02-01,35.4,38.3,35.35,35.4,1374600,38.0
87,2021-01-29,35.3,39.3,35.3,38.0,1215100,37.9
88,2021-01-28,38.1,39.0,37.9,37.9,1719600,40.7
89,2021-01-27,41.25,42.25,40.5,40.7,1288600,41.2
90,2021-01-26,42.5,42.55,41.05,41.2,1034200,42.5
91,2021-01-25,41.7,43.3,41.5,42.5,2185700,41.7
92,2021-01-22,41.5,42.9,41.0,41.7,2410100,41.5
93,2021-01-21,41.5,41.9,40.8,41.5,1411200,41.4
94,2021-01-20,42.2,42.5,40.0,41.4,1183200,42.0
95,2021-01-19,43.5,44.6,40.35,42.0,2415600,43.35
96,2021-01-18,42.5,43.4,42.2,43.35,2054600,42.1
97,2021-01-15,42.55,43.0,42.0,42.1,1737700,42.45
98,2021-01-14,43.0,43.05,42.2,42.45,1597700,43.05
99,2021-01-13,43.6,43.75,43.0,43.05,1598000,43.6
